movie_id,num_genres,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9,id_10,id_11
368031,2,27,53,0,0,0,0,0,0,0,0,0
375366,3,18,27,53,0,0,0,0,0,0,0,0
364116,2,53,27,0,0,0,0,0,0,0,0,0
259695,2,80,18,0,0,0,0,0,0,0,0,0
380124,2,35,27,0,0,0,0,0,0,0,0,0
322240,3,14,35,10751,0,0,0,0,0,0,0,0
340402,2,35,18,0,0,0,0,0,0,0,0,0
186759,1,35,0,0,0,0,0,0,0,0,0,0
353326,1,18,0,0,0,0,0,0,0,0,0,0
332872,2,18,10749,0,0,0,0,0,0,0,0,0
374475,2,35,18,0,0,0,0,0,0,0,0,0
339419,2,18,10749,0,0,0,0,0,0,0,0,0
382591,2,18,35,0,0,0,0,0,0,0,0,0
293670,2,27,9648,0,0,0,0,0,0,0,0,0
369776,1,35,0,0,0,0,0,0,0,0,0,0
384798,3,28,27,878,0,0,0,0,0,0,0,0
351339,3,36,53,10752,0,0,0,0,0,0,0,0
353571,3,35,18,10749,0,0,0,0,0,0,0,0
338964,3,35,80,18,0,0,0,0,0,0,0,0
382399,3,18,10402,10749,0,0,0,0,0,0,0,0
382399,3,18,10402,10749,0,0,0,0,0,0,0,0
410718,1,99,0,0,0,0,0,0,0,0,0,0
340485,2,18,10749,0,0,0,0,0,0,0,0,0
390734,6,28,16,12,18,14,878,0,0,0,0,0
286567,3,28,12,878,0,0,0,0,0,0,0,0
374473,1,18,0,0,0,0,0,0,0,0,0,0
369778,2,35,18,0,0,0,0,0,0,0,0,0
332411,4,28,80,18,53,0,0,0,0,0,0,0
339984,1,18,0,0,0,0,0,0,0,0,0,0
370755,3,35,18,10749,0,0,0,0,0,0,0,0
326423,1,35,0,0,0,0,0,0,0,0,0,0
366514,2,35,10749,0,0,0,0,0,0,0,0,0
234004,6,28,12,16,35,10751,878,0,0,0,0,0
366924,3,28,16,878,0,0,0,0,0,0,0,0
340677,3,80,18,53,0,0,0,0,0,0,0,0
263341,3,28,12,18,0,0,0,0,0,0,0,0
347938,3,18,36,53,0,0,0,0,0,0,0,0
355008,1,35,0,0,0,0,0,0,0,0,0,0
339408,1,18,0,0,0,0,0,0,0,0,0,0
301608,2,80,53,0,0,0,0,0,0,0,0,0
270774,2,28,35,0,0,0,0,0,0,0,0,0
283378,5,12,18,14,10749,53,0,0,0,0,0,0
376290,2,18,53,0,0,0,0,0,0,0,0,0
257345,2,27,53,0,0,0,0,0,0,0,0,0
284564,2,27,53,0,0,0,0,0,0,0,0,0
379291,2,28,16,0,0,0,0,0,0,0,0,0
277839,1,35,0,0,0,0,0,0,0,0,0,0
296360,3,35,18,10749,0,0,0,0,0,0,0,0
337703,3,16,18,14,0,0,0,0,0,0,0,0
373314,2,18,53,0,0,0,0,0,0,0,0,0
329010,1,53,0,0,0,0,0,0,0,0,0,0
382511,1,35,0,0,0,0,0,0,0,0,0,0
205588,1,53,0,0,0,0,0,0,0,0,0,0
337556,4,18,14,10749,12,0,0,0,0,0,0,0
