,genre_name,id,vote_average,popularity,pal_intensity_1,pal_intensity_2,pal_intensity_3,pal_intensity_4,pal_intensity_5,avg_red,avg_blue,avg_green
454,Romance,14055,6.7,0.518822,765,0,318,2,764,151.19999999999999,108.0,110.59999999999999
455,Action,138496,4.8,0.077165,60,59,62,57,63,22.800000000000001,18.800000000000001,18.600000000000001
456,Romance,1904,7.2,1.098606,37,56,27,59,73,31.800000000000001,9.4000000000000004,9.1999999999999993
457,Action,5353,6.7,0.898263,12,347,15,9,18,48.200000000000003,24.399999999999999,7.5999999999999996
458,Animation,953,6.5,3.611803,523,757,760,754,524,250.59999999999999,243.59999999999999,169.40000000000001
459,Romance,126250,6.2,0.955626,760,762,762,762,757,252.59999999999999,253.59999999999999,254.40000000000001
460,Thriller,379170,7.9,2.272056,0,3,765,6,9,52.200000000000003,52.200000000000003,52.200000000000003
461,Thriller,48171,5.7,2.199833,0,2,5,6,3,0.59999999999999998,0.40000000000000002,2.2000000000000002
462,Comedy,51540,6.4,3.717639,0,765,2,762,3,102.0,102.0,102.40000000000001
463,Thriller,12720,6.4,0.211415,12,312,765,12,743,146.0,114.2,108.59999999999999
464,Thriller,10383,4.6,0.538853,9,0,8,12,6,2.0,1.8,3.2000000000000002
465,Action,336808,7.6,0.410482,78,81,75,72,84,26.0,26.0,26.0
466,Comedy,18360,5.9,4.185519,58,63,67,62,66,9.4000000000000004,20.199999999999999,33.600000000000001
467,Drama,352492,5.9,0.43356,0,31,25,22,3,1.2,6.7999999999999998,8.1999999999999993
468,Comedy,6435,6.2,1.581555,0,393,43,46,72,57.399999999999999,36.399999999999999,17.0
469,Romance,11452,5.9,1.731453,765,763,764,764,0,203.80000000000001,203.80000000000001,203.59999999999999
470,Comedy,179144,7.4,1.792161,3,0,6,2,3,0.59999999999999998,1.6000000000000001,0.59999999999999998
471,Comedy,211954,7.5,0.580545,468,465,466,465,460,254.80000000000001,209.59999999999999,0.40000000000000002
472,Action,1562,6.5,2.934551,0,266,1,3,1,42.600000000000001,5.4000000000000004,6.2000000000000002
473,Thriller,42341,7.3,0.411112,733,765,699,730,250,236.59999999999999,198.0,200.80000000000001
474,Drama,172106,6.7,0.627277,765,763,759,761,0,204.0,203.80000000000001,201.80000000000001
475,Thriller,351339,6.9,2.389788,0,190,187,187,187,148.40000000000001,0.80000000000000004,1.0
476,Comedy,230211,6.5,0.070988,550,556,559,565,540,245.59999999999999,215.59999999999999,92.799999999999997
477,Thriller,6948,5.7,0.623226,9,12,6,15,18,3.0,5.0,4.0
478,Thriller,34335,5.4,1.72543,31,765,28,751,749,155.59999999999999,156.0,153.19999999999999
479,Comedy,4141,6.3,2.518932,0,765,3,2,1,51.200000000000003,51.399999999999999,51.600000000000001
